Neighborhood,Public Art ,Bridges,Parks ,Greenways,Score 
Central Business District,27,12,9,,57
Squirrel Hill South,20,14,3,1,43
South Side Flats,9,5,6,,26
Allegheny Center,18,3,2,,25
Beechview,7,1,6,1,23
East Liberty,1,2,10,,23
Hazelwood,3,4,6,1,22
Beechview,7,1,6,,20
North Shore,8,1,3,1,18
Troy Hill,1,7,5,,18
South Side Slopes,3,5,5,,18
Mount Washington,2,4,6,,18
South Oakland,0,4,5,1,17
Highland Park,10,2,2,,16
Point Breeze,3,1,6,,16
Lower Lawrencevile,5,2,3,1,16
Brighton Heights,5,2,4,,15
Central Oakland,5,1,4,,14
Shadyside,6,6,0,,12
Brookline,2,1,3,1,12
West End,2,4,2,,10
Perry South,1,2,2,1,10
Hays,1,6,1,,9
Spring Garden,2,0,2,1,9
Oakwood,1,5,1,,8
Overbrook,1,6,0,,7
Central Northside,0,0,3,,6
Perry North,2,0,0,1,5